ID,ATeamID,BTeamID,Date,Score
1,1,2,6/14/2024,5-1
2,3,4,6/15/2024,1-3
3,5,6,6/15/2024,3-0
4,7,8,6/15/2024,2-1
5,13,14,6/16/2024,1-2
6,11,12,6/16/2024,0-1
7,9,10,6/16/2024,1-1
8,19,20,6/17/2024,3-0
9,15,16,6/17/2024,0-1
10,17,18,6/17/2024,0-1
11,21,22,6/18/2024,3-1
12,23,24,6/18/2024,2-1
13,6,8,6/19/2024,2-2
14,2,4,6/19/2024,1-1
15,1,3,6/19/2024,2-0
16,9,11,6/20/2024,1-1
17,5,7,6/20/2024,1-0
18,10,12,6/20/2024,1-1
19,18,20,6/21/2024,1-2
20,14,16,6/21/2024,0-0
21,13,15,6/21/2024,1-3
22,22,24,6/22/2024,1-1
23,17,19,6/22/2024,2-0
24,21,23,6/22/2024,0-3
25,4,1,6/23/2024,1-1
26,2,3,6/23/2024,0-1
27,8,5,6/24/2024,0-1
28,6,7,6/24/2024,1-1
29,16,13,6/25/2024,1-1
30,10,11,6/25/2024,0-0
31,14,15,6/25/2024,2-3
32,12,9,6/25/2024,0-0
33,18,19,6/26/2024,1-1
34,22,23,6/26/2024,2-0
35,20,17,6/26/2024,0-0
36,24,21,6/26/2024,1-2
37,4,7,6/29/2024,2-0
38,1,10,6/29/2024,2-0
39,12,18,6/30/2024,2-1
40,5,22,6/30/2024,4-1
41,16,17,7/1/2024,1-0
42,23,9,7/1/2024,0(3)-0(0)
43,19,14,7/2/2024,0-3
44,15,21,7/2/2024,1-2
45,5,1,7/5/2024,2-1
46,23,16,7/5/2024,0(3)-0(5)
47,12,4,7/6/2024,1(5)-1(3)
48,14,21,7/6/2024,2-1
49,5,16,7/9/2024,2-1
50,14,12,7/10/2024,1-2
51,5,12,7/14/2024,2-1
