ID,TeamNumber,Position,FullName,TeamID
1,1,GK,Manuel Neuer,1
2,2,DF,Antonio Rüdiger,1
3,3,DF,David Raum,1
4,4,DF,Jonathan Tah,1
5,5,MF,Pascal Groß,1
6,6,DF,Joshua Kimmich,1
7,7,FW,Kai Havertz,1
8,8,MF,Toni Kroos,1
9,9,FW,Niclas Füllkrug,1
10,10,MF,Jamal Musiala,1
11,11,MF,Chris Führich,1
12,12,GK,Oliver Baumann,1
13,13,FW,Thomas Müller,1
14,14,FW,Maximilian Beier,1
15,15,DF,Nico Schlotterbeck,1
16,16,DF,Waldemar Anton,1
17,17,MF,Florian Wirtz,1
18,18,DF,Maximilian Mittelstädt,1
19,19,MF,Leroy Sané,1
20,20,DF,Benjamin Henrichs,1
21,21,MF,İlkay Gündoğan (captain),1
22,22,GK,Marc-André ter Stegen,1
23,23,MF,Robert Andrich,1
24,24,DF,Robin Koch,1
25,25,MF,Emre Can,1
26,26,FW,Deniz Undav,1
27,1,GK,Angus Gunn,2
28,2,DF,Anthony Ralston,2
29,3,DF,Andrew Robertson (captain),2
30,4,MF,Scott McTominay,2
31,5,DF,Grant Hanley,2
32,6,DF,Kieran Tierney,2
33,7,MF,John McGinn,2
34,8,MF,Callum McGregor,2
35,9,FW,Lawrence Shankland,2
36,10,FW,Ché Adams,2
37,11,FW,Ryan Christie,2
38,12,GK,Liam Kelly,2
39,13,DF,Jack Hendry,2
40,14,MF,Billy Gilmour,2
41,15,DF,Ryan Porteous,2
42,16,DF,Liam Cooper,2
43,17,MF,Stuart Armstrong,2
44,18,MF,Lewis Morgan,2
45,19,FW,Tommy Conway,2
46,20,MF,Ryan Jack,2
47,21,GK,Zander Clark,2
48,22,DF,Ross McCrorie,2
49,23,MF,Kenny McLean,2
50,24,DF,Greg Taylor,2
51,25,MF,James Forrest,2
52,26,DF,Scott McKenna,2
53,1,GK,Péter Gulácsi,3
54,2,DF,Ádám Lang,3
55,3,DF,Botond Balogh,3
56,4,DF,Attila Szalai,3
57,5,DF,Attila Fiola,3
58,6,DF,Willi Orbán,3
59,7,DF,Loïc Négo,3
60,8,MF,Ádám Nagy,3
61,9,FW,Martin Ádám,3
62,10,MF,Dominik Szoboszlai (captain),3
63,11,DF,Milos Kerkez,3
64,12,GK,Dénes Dibusz,3
65,13,MF,András Schäfer,3
66,14,DF,Bendegúz Bolla,3
67,15,MF,László Kleinheisler,3
68,16,MF,Dániel Gazdag,3
69,17,MF,Callum Styles,3
70,18,DF,Zsolt Nagy,3
71,19,FW,Barnabás Varga,3
72,20,FW,Roland Sallai,3
73,21,DF,Endre Botka,3
74,22,GK,Péter Szappanos,3
75,23,FW,Kevin Csoboth,3
76,24,DF,Márton Dárdai,3
77,25,FW,Krisztofer Horváth,3
78,26,MF,Mihály Kata,3
79,1,GK,Yann Sommer,4
80,2,DF,Leonidas Stergiou,4
81,3,DF,Silvan Widmer,4
82,4,DF,Nico Elvedi,4
83,5,DF,Manuel Akanji,4
84,6,MF,Denis Zakaria,4
85,7,FW,Breel Embolo,4
86,8,MF,Remo Freuler,4
87,9,FW,Noah Okafor,4
88,10,MF,Granit Xhaka (captain),4
89,11,MF,Renato Steffen,4
90,12,GK,Yvon Mvogo,4
91,13,DF,Ricardo Rodriguez,4
92,14,MF,Steven Zuber,4
93,15,DF,Cédric Zesiger,4
94,16,MF,Vincent Sierro,4
95,17,MF,Ruben Vargas,4
96,18,FW,Kwadwo Duah,4
97,19,FW,Dan Ndoye,4
98,20,MF,Michel Aebischer,4
99,21,GK,Gregor Kobel,4
100,22,DF,Fabian Schär,4
101,23,MF,Xherdan Shaqiri,4
102,24,MF,Ardon Jashari,4
103,25,FW,Zeki Amdouni,4
104,26,MF,Fabian Rieder,4
105,1,GK,David Raya,5
106,2,DF,Dani Carvajal,5
107,3,DF,Robin Le Normand,5
108,4,DF,Nacho,5
109,5,DF,Daniel Vivian,5
110,6,MF,Mikel Merino,5
111,7,FW,Álvaro Morata (captain),5
112,8,MF,Fabián Ruiz,5
